GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab2virtual,com.udea.lab2virtual.controller,DataController,0,139,0,6,0,33,0,9,0,6
lab2virtual,com.udea.lab2virtual,Lab2virtualApplication,5,3,0,0,2,1,1,1,1,1
